Year,BD_159,BD_160,BD_161,BD_162,BD_163,BD_164,BD_165,BD_166,BD_167,BD_168,BH_113,BH_114,BH_115,BH_116,BH_117,BH_118,BH_119,BH_120,BH_121,BH_122,FC_169,FC_170,FC_171,FC_172,FC_173,FC_174,FC_175,FC_176,FC_177,FC_178,HM1_51,HM1_52,HM1_53,HM1_55,HM1_99,HM1_111,HM1_112,HM1_136,HM1_137,HM1_138,HM6_139,HM6_140,HM6_141,HM6_152,HM6_153,HM6_154,HM6_155,HM6_156,HM6_157,HM6_158,LH_45,LH_71,LH_L73,LH_L116,LH_123,LH_188,LH_201,LH_204,LH_221,LH_300,WT1_73,WT1_75,WT1_76,WT1_142,WT1_143,WT1_144,WT1_145,WT1_146,WT1_147,WT1_148,WT2_77,WT2_78,WT2_79,WT2_80,WT2_81,WT2_82,WT2_83,WT2_149,WT2_150,WT2_151
1880,1.315,,0.922,,0.594,,,,,0.75,,,,,0.253,,0.673,0.439,0.286,0.317,,,,,,,,,,,,,,,,,,,,,,,0.207,,,,,0.376,0.213,,2.753,,0.327,,,,,,,,,,,1.265,,1.174,,,,,,,,,,,,,,
1879,1.393,,1.022,,0.536,,,,,1.671,,,,,0.24,,0.89,0.222,0.322,0.225,,,,,,,,,,,,,,,,,,,,,,,1.425,,,,,0.186,1.225,,2.2,,2.499,,,,,,,,,,,2.598,,2.371,,,,,,,,,,,,,,
1878,1.333,,0.619,,0.484,,,,,1.994,,,,,0.422,,1.037,0.385,0.326,0.198,,,,,,,,,,,,,,,,,,,,,,,1.105,,,,,1.311,1.503,,1.865,,4.057,,,,,,,,,,,2.989,,2.815,,,,,,,,,,,,,,
1877,1.136,,0.363,,,,,,,1.357,,,,,0.42,,1.327,0.293,0.23,0.255,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,1.742,1.451,,0.561,,3.052,,,,,,,,,,,2.406,,2.284,,,,,,,,,,,,,,
1876,0.816,,0.232,,,,,,,1.783,,,,,0.43,,1.319,0.257,0.517,0.189,,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,1.314,2.239,,1.085,,3.424,,,,,,,,,,,2.983,,2.835,,,,,,,,,,,,,,
1875,1.029,,0.427,,,,,,,1.743,,,,,0.261,,1.412,0.296,0.589,0.295,,,,,,,,,,,,,,,,,,,,,,,0.656,,,,,1.83,0.824,,0.196,,3.562,,,,,,,,,,,2.322,,2.199,,,,,,,,,,,,,,
1874,1.309,,0.613,,,,,,,1.134,,,,,0.215,,1.725,0.235,0.293,0.205,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,0.989,1.168,,0.699,,0.396,,,,,,,,,,,1.571,,1.637,,,,,,,,,,,,,,
1873,1.028,,0.307,,,,,,,1.389,,,,,0.297,,1.099,0.486,0.495,0.164,,,,,,,,,,,,,,,,,,,,,,,1.233,,,,,1.059,2.435,,1.69,,1.335,,,,,,,,,,,2.113,,2.105,,,,,,,,,,,,,,
1872,1.746,,0.601,,,,,,,2.15,,,,,0.219,,1.304,0.351,0.74,0.175,,,,,,,,,,,,,,,,,,,,,,,1.159,,,,,1.774,2.472,,2.222,,3.013,,,,,,,,,,,3.266,,2.539,,,,,,,,,,,,,,
1871,1.967,,0.713,,,,,,,1.305,,,,,0.197,,0.962,0.252,0.482,0.185,,,,,,,,,,,,,,,,,,,,,,,0.997,,,,,1.835,1.041,,1.526,,2.317,,,,,,,,,,,1.926,,1.643,,,,,,,,,,,,,,
1870,1.591,,0.552,,,,,,,1.605,,,,,0.271,,1.009,0.444,0.65,0.135,,,,,,,,,,,,,,,,,,,,,,,1.219,,,,,1.364,2.01,,1.817,,2.257,,,,,,,,,,,2.734,,3.151,,,,,,,,,,,,,,
1869,1.377,,0.663,,,,,,,1.369,,,,,0.243,,1.501,0.377,0.584,0.135,,,,,,,,,,,,,,,,,,,,,,,1.149,,,,,1.663,,,3.79,,2.426,,,,,,,,,,,3.137,,3.796,,,,,,,,,,,,,,
1868,1.397,,0.791,,,,,,,2.035,,,,,0.205,,1.414,0.446,0.694,0.292,,,,,,,,,,,,,,,,,,,,,,,1.138,,,,,2.027,,,2.523,,3.197,,,,,,,,,,,3.027,,3.148,,,,,,,,,,,,,,
1867,1.271,,0.639,,,,,,,1.119,,,,,0.175,,0.799,0.28,0.432,0.076,,,,,,,,,,,,,,,,,,,,,,,0.962,,,,,1.244,,,2.23,,2.689,,,,,,,,,,,2.238,,2.077,,,,,,,,,,,,,,
1866,1.39,,0.593,,,,,,,2.301,,,,,0.316,,1.166,0.36,0.7,0.224,,,,,,,,,,,,,,,,,,,,,,,0.941,,,,,1.63,,,4.162,,1.921,,,,,,,,,,,2.956,,3.029,,,,,,,,,,,,,,
1865,0.984,,0.353,,,,,,,1.995,,,,,0.146,,1.794,0.45,0.534,0.09,,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,1.441,,,3.122,,5.226,,,,,,,,,,,1.96,,2.21,,,,,,,,,,,,,,
1864,1.046,,0.861,,,,,,,1.639,,,,,0.288,,1.349,0.489,0.619,0.189,,,,,,,,,,,,,,,,,,,,,,,0.786,,,,,0.947,,,2.445,,2.448,,,,,,,,,,,2.144,,2.185,,,,,,,,,,,,,,
1863,0.766,,0.313,,,,,,,2.696,,,,,0.351,,1.39,0.254,0.495,0.341,,,,,,,,,,,,,,,,,,,,,,,0.382,,,,,1.264,,,1.641,,1.838,,,,,,,,,,,2.546,,2.081,,,,,,,,,,,,,,
1862,0.895,,0.764,,,,,,,1.76,,,,,0.292,,1.01,0.423,0.512,0.228,,,,,,,,,,,,,,,,,,,,,,,0.953,,,,,0.339,,,2.515,,1.193,,,,,,,,,,,0.992,,1.681,,,,,,,,,,,,,,
1861,0.997,,0.659,,,,,,,2.649,,,,,0.151,,1.12,0.365,0.58,0.16,,,,,,,,,,,,,,,,,,,,,,,0.748,,,,,1.196,,,2.265,,1.485,,,,,,,,,,,1.794,,2.535,,,,,,,,,,,,,,
1860,1.364,,0.605,,,,,,,2.996,,,,,0.259,,1.193,0.49,0.511,0.372,,,,,,,,,,,,,,,,,,,,,,,0.794,,,,,0.368,,,2.42,,1.524,,,,,,,,,,,3.479,,2.391,,,,,,,,,,,,,,
1859,1.039,,0.525,,,,,,,1.422,,,,,0.25,,1.15,0.544,0.689,0.222,,,,,,,,,,,,,,,,,,,,,,,0.861,,,,,0.286,,,2.488,,1.543,,,,,,,,,,,2.618,,3.45,,,,,,,,,,,,,,
1858,1.065,,0.418,,,,,,,2.61,,,,,0.303,,1.15,0.652,0.918,0.217,,,,,,,,,,,,,,,,,,,,,,,0.864,,,,,0.329,,,3.841,,2.166,,,,,,,,,,,3.083,,2.952,,,,,,,,,,,,,,
1857,1.04,,0.724,,,,,,,0.36,,,,,0.235,,1.352,0.471,0.458,0.295,,,,,,,,,,,,,,,,,,,,,,,0.499,,,,,0.759,,,2.318,,2.47,,,,,,,,,,,3.197,,,,,,,,,,,,,,,,
1856,1.146,,0.761,,,,,,,0.953,,,,,0.16,,1.128,0.297,0.591,0.346,,,,,,,,,,,,,,,,,,,,,,,0.321,,,,,0.84,,,2.076,,1.449,,,,,,,,,,,1.915,,,,,,,,,,,,,,,,
1855,1.039,,0.649,,,,,,,0.454,,,,,0.358,,0.84,0.584,0.812,0.253,,,,,,,,,,,,,,,,,,,,,,,0.101,,,,,2.138,,,1.404,,1.022,,,,,,,,,,,2.963,,,,,,,,,,,,,,,,
1854,0.799,,0.458,,,,,,,1.148,,,,,0.215,,1.743,0.444,0.514,0.42,,,,,,,,,,,,,,,,,,,,,,,0.203,,,,,1.419,,,2.45,,0.906,,,,,,,,,,,3.586,,,,,,,,,,,,,,,,
1853,0.812,,0.19,,,,,,,2.087,,,,,0.275,,2.505,0.643,0.507,0.234,,,,,,,,,,,,,,,,,,,,,,,0.153,,,,,0.938,,,1.741,,1.528,,,,,,,,,,,2.932,,,,,,,,,,,,,,,,
1852,0.875,,0.567,,,,,,,2.245,,,,,0.309,,3.467,0.774,0.478,0.285,,,,,,,,,,,,,,,,,,,,,,,0.668,,,,,0.766,,,0.866,,1.693,,,,,,,,,,,3.184,,,,,,,,,,,,,,,,
1851,0.693,,0.495,,,,,,,1.547,,,,,0.529,,3.856,0.356,0.636,0.314,,,,,,,,,,,,,,,,,,,,,,,0.636,,,,,1.486,,,0.75,,0.757,,,,,,,,,,,1.341,,,,,,,,,,,,,,,,
1850,0.791,,0.334,,,,,,,1.995,,,,,0.308,,2.589,0.542,0.832,0.192,,,,,,,,,,,,,,,,,,,,,,,0.47,,,,,1.034,,,1.051,,0.376,,,,,,,,,,,2.967,,,,,,,,,,,,,,,,
1849,1.011,,0.542,,,,,,,2.332,,,,,0.264,,2.68,0.87,0.897,0.314,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.183,,,0.715,,1.312,,,,,,,,,,,3.487,,,,,,,,,,,,,,,,
1848,0.991,,0.599,,,,,,,1.919,,,,,0.545,,,0.343,0.803,0.321,,,,,,,,,,,,,,,,,,,,,,,0.396,,,,,0.158,,,0.791,,0.969,,,,,,,,,,,2.45,,,,,,,,,,,,,,,,
1847,1.219,,0.926,,,,,,,1.525,,,,,0.349,,,0.884,0.553,0.355,,,,,,,,,,,,,,,,,,,,,,,0.126,,,,,0.168,,,1.116,,0.77,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,
1846,0.822,,0.748,,,,,,,1.711,,,,,0.409,,,0.55,0.64,0.269,,,,,,,,,,,,,,,,,,,,,,,0.401,,,,,1.151,,,1.458,,1.219,,,,,,,,,,,2.709,,,,,,,,,,,,,,,,
1845,0.627,,0.498,,,,,,,1.255,,,,,0.484,,,0.688,0.847,0.299,,,,,,,,,,,,,,,,,,,,,,,0.307,,,,,1.424,,,2.317,,1.217,,,,,,,,,,,2.794,,,,,,,,,,,,,,,,
1844,0.776,,0.27,,,,,,,0.503,,,,,0.621,,,0.682,0.58,0.219,,,,,,,,,,,,,,,,,,,,,,,0.232,,,,,0.875,,,4.252,,1.301,,,,,,,,,,,3.87,,,,,,,,,,,,,,,,
1843,1.052,,0.517,,,,,,,0.274,,,,,0.835,,,0.813,0.932,0.275,,,,,,,,,,,,,,,,,,,,,,,0.329,,,,,0.975,,,3.866,,2.489,,,,,,,,,,,4.112,,,,,,,,,,,,,,,,
1842,1.024,,0.482,,,,,,,0.2,,,,,0.89,,,0.452,0.694,0.284,,,,,,,,,,,,,,,,,,,,,,,0.826,,,,,0.731,,,1.631,,3.411,,,,,,,,,,,2.379,,,,,,,,,,,,,,,,
1841,1.444,,0.623,,,,,,,1.325,,,,,0.564,,,0.396,1.282,0.254,,,,,,,,,,,,,,,,,,,,,,,1.017,,,,,0.469,,,3.205,,0.794,,,,,,,,,,,,,,,,,,,,,,,,,,,
1840,1.501,,0.692,,,,,,,1.539,,,,,0.58,,,0.318,1.032,0.381,,,,,,,,,,,,,,,,,,,,,,,1.087,,,,,0.728,,,2.263,,5.636,,,,,,,,,,,,,,,,,,,,,,,,,,,
1839,1.446,,0.762,,,,,,,1.41,,,,,0.584,,,0.553,1.33,0.274,,,,,,,,,,,,,,,,,,,,,,,0.773,,,,,0.439,,,2.85,,1.977,,,,,,,,,,,,,,,,,,,,,,,,,,,
1838,1.352,,0.983,,,,,,,1.732,,,,,0.352,,,0.493,2.133,0.255,,,,,,,,,,,,,,,,,,,,,,,1.037,,,,,0.194,,,4.502,,3.878,,,,,,,,,,,,,,,,,,,,,,,,,,,
1837,1.436,,0.915,,,,,,,1.259,,,,,0.265,,,0.374,1.21,0.255,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,0.437,,,3.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1836,1.663,,0.834,,,,,,,1.928,,,,,0.203,,,0.707,,0.213,,,,,,,,,,,,,,,,,,,,,,,0.748,,,,,1.412,,,4.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1835,1.033,,0.885,,,,,,,1.738,,,,,0.174,,,0.616,,0.262,,,,,,,,,,,,,,,,,,,,,,,1.084,,,,,1.303,,,3.547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1834,0.886,,0.85,,,,,,,2.304,,,,,0.254,,,0.424,,0.193,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,1.435,,,5.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,0.964,,0.756,,,,,,,1.75,,,,,0.204,,,0.543,,0.161,,,,,,,,,,,,,,,,,,,,,,,0.656,,,,,1.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1832,0.921,,0.643,,,,,,,1.362,,,,,,,,0.565,,0.272,,,,,,,,,,,,,,,,,,,,,,,0.592,,,,,1.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1831,1.113,,0.435,,,,,,,1.46,,,,,,,,0.534,,0.159,,,,,,,,,,,,,,,,,,,,,,,0.829,,,,,1.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1830,1.382,,0.661,,,,,,,1.817,,,,,,,,0.554,,0.193,,,,,,,,,,,,,,,,,,,,,,,1.076,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1829,1.276,,0.557,,,,,,,1.153,,,,,,,,0.603,,0.203,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,1.863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1828,1.199,,0.542,,,,,,,1.943,,,,,,,,0.787,,0.115,,,,,,,,,,,,,,,,,,,,,,,0.681,,,,,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1827,1.567,,0.494,,,,,,,1.39,,,,,,,,0.373,,0.155,,,,,,,,,,,,,,,,,,,,,,,0.556,,,,,1.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1826,1.027,,0.443,,,,,,,1.571,,,,,,,,0.454,,0.061,,,,,,,,,,,,,,,,,,,,,,,0.188,,,,,1.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,1.549,,0.461,,,,,,,1.465,,,,,,,,0.358,,0.128,,,,,,,,,,,,,,,,,,,,,,,0.685,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1824,1.713,,0.525,,,,,,,1.449,,,,,,,,0.366,,0.183,,,,,,,,,,,,,,,,,,,,,,,0.977,,,,,1.576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1823,1.192,,0.478,,,,,,,1.459,,,,,,,,0.217,,0.109,,,,,,,,,,,,,,,,,,,,,,,0.503,,,,,1.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1822,1.329,,0.391,,,,,,,1.631,,,,,,,,0.416,,0.196,,,,,,,,,,,,,,,,,,,,,,,0.616,,,,,1.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821,1.618,,0.533,,,,,,,1.637,,,,,,,,0.449,,0.189,,,,,,,,,,,,,,,,,,,,,,,1.127,,,,,1.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1820,1.093,,0.529,,,,,,,1.757,,,,,,,,0.754,,0.141,,,,,,,,,,,,,,,,,,,,,,,0.881,,,,,1.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,1.674,,0.448,,,,,,,1.557,,,,,,,,0.398,,0.264,,,,,,,,,,,,,,,,,,,,,,,1.103,,,,,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1818,1.662,,0.785,,,,,,,1.884,,,,,,,,0.586,,0.147,,,,,,,,,,,,,,,,,,,,,,,1.395,,,,,1.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1817,1.66,,,,,,,,,2.18,,,,,,,,0.495,,0.163,,,,,,,,,,,,,,,,,,,,,,,1.225,,,,,1.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,1.504,,,,,,,,,2.327,,,,,,,,0.517,,0.134,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1815,1.291,,,,,,,,,1.726,,,,,,,,0.822,,0.151,,,,,,,,,,,,,,,,,,,,,,,1.491,,,,,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,1.065,,,,,,,,,1.147,,,,,,,,0.28,,0.226,,,,,,,,,,,,,,,,,,,,,,,1.666,,,,,1.589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1813,1.134,,,,,,,,,1.496,,,,,,,,0.451,,0.127,,,,,,,,,,,,,,,,,,,,,,,1.951,,,,,1.549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,0.792,,,,,,,,,1.114,,,,,,,,0.446,,0.206,,,,,,,,,,,,,,,,,,,,,,,2.263,,,,,1.315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811,0.97,,,,,,,,,1.663,,,,,,,,0.458,,0.08,,,,,,,,,,,,,,,,,,,,,,,0.539,,,,,1.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,0.993,,,,,,,,,1.942,,,,,,,,0.449,,0.107,,,,,,,,,,,,,,,,,,,,,,,1.273,,,,,2.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,0.816,,,,,,,,,1.909,,,,,,,,0.579,,0.106,,,,,,,,,,,,,,,,,,,,,,,1.523,,,,,1.611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,0.849,,,,,,,,,1.652,,,,,,,,0.586,,0.175,,,,,,,,,,,,,,,,,,,,,,,1.375,,,,,1.113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1807,0.692,,,,,,,,,1.465,,,,,,,,0.426,,0.205,,,,,,,,,,,,,,,,,,,,,,,0.383,,,,,1.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,1.019,,,,,,,,,2.156,,,,,,,,0.695,,0.215,,,,,,,,,,,,,,,,,,,,,,,0.868,,,,,1.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,1.101,,,,,,,,,2.987,,,,,,,,0.88,,0.277,,,,,,,,,,,,,,,,,,,,,,,2.208,,,,,1.612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1804,1.257,,,,,,,,,2.425,,,,,,,,0.89,,0.245,,,,,,,,,,,,,,,,,,,,,,,1.125,,,,,0.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1803,1.133,,,,,,,,,2.319,,,,,,,,0.833,,0.237,,,,,,,,,,,,,,,,,,,,,,,0.485,,,,,1.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1802,1.572,,,,,,,,,2.943,,,,,,,,0.804,,0.201,,,,,,,,,,,,,,,,,,,,,,,2.848,,,,,1.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,,,,,,,,,,2.22,,,,,,,,0.637,,0.13,,,,,,,,,,,,,,,,,,,,,,,2.263,,,,,1.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,,,,,,,,2.116,,,,,,,,0.453,,0.32,,,,,,,,,,,,,,,,,,,,,,,1.674,,,,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1799,,,,,,,,,,2.1,,,,,,,,0.666,,0.25,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,2.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1798,,,,,,,,,,2.794,,,,,,,,1.193,,0.337,,,,,,,,,,,,,,,,,,,,,,,1.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1797,,,,,,,,,,2.491,,,,,,,,1.307,,0.273,,,,,,,,,,,,,,,,,,,,,,,0.949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1796,,,,,,,,,,2.82,,,,,,,,0.875,,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1795,,,,,,,,,,1.697,,,,,,,,1.54,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1794,,,,,,,,,,1.742,,,,,,,,1.626,,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,,,,,,,,,,2.136,,,,,,,,1.522,,0.149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1792,,,,,,,,,,4.319,,,,,,,,1.272,,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1791,,,,,,,,,,5.711,,,,,,,,1.06,,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,,,,,,,,,,,,,,,,,,0.945,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,,,,,,,,,,,,,,,,,,1.228,,0.131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1788,,,,,,,,,,,,,,,,,,1.152,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,,,,,,,,,,,,,,,,,,1.098,,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,,,,,,,,,,,,,,,,,,1.123,,0.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1785,,,,,,,,,,,,,,,,,,0.571,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,,,,,,,,,,,,,,,,,,0.493,,0.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,,,,,,,,,,,,,,,,,,0.498,,0.322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,,,,,,,,,,,,,,,,,,0.675,,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,,,,,,,,,,,,,,,,,,0.734,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,,,,,,,,,,,,,,,,,,0.549,,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,,,,,,,,,,,,,,,,,,0.37,,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1778,,,,,,,,,,,,,,,,,,0.542,,0.247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,,,,,,,,,,,,,,,,,,0.648,,0.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1776,,,,,,,,,,,,,,,,,,0.523,,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,,,,,,,,,,,,,,,,,,0.4,,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,,,,,,,,,,,,,,,,,,0.596,,0.213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,,,,,,,,,,,,,,,,,,0.466,,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,,,,,,,,,,,,,,,,,,0.688,,0.243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,,,,,,,,,,,,,,,,,,0.426,,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,,,,,,,,,,,,,,,,,,0.657,,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1769,,,,,,,,,,,,,,,,,,0.761,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1768,,,,,,,,,,,,,,,,,,0.501,,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1767,,,,,,,,,,,,,,,,,,0.375,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1766,,,,,,,,,,,,,,,,,,0.37,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1765,,,,,,,,,,,,,,,,,,0.646,,0.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1764,,,,,,,,,,,,,,,,,,0.346,,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1763,,,,,,,,,,,,,,,,,,0.308,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1762,,,,,,,,,,,,,,,,,,0.117,,0.267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,,,,,,,,,,,,,,,,,,0.227,,0.326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1760,,,,,,,,,,,,,,,,,,0.252,,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1759,,,,,,,,,,,,,,,,,,0.21,,0.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1758,,,,,,,,,,,,,,,,,,0.081,,0.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1757,,,,,,,,,,,,,,,,,,0.284,,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1756,,,,,,,,,,,,,,,,,,0.418,,0.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1755,,,,,,,,,,,,,,,,,,0.656,,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1754,,,,,,,,,,,,,,,,,,0.712,,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1753,,,,,,,,,,,,,,,,,,0.792,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1752,,,,,,,,,,,,,,,,,,0.953,,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
